sheet,row_id,Chagatai (chg_Arab),Chagatai Latin (chg_Latn),English (eng_Latn),Kazakh (kaz_Cyrl),Russian (rus_Cyrl),Uzbek (uzn_Latn),Turkish (tur_Latn),source_text,source_lang,type,length,Unnamed: 0
Ch 12,150,نمرسا,nemerse,thing,нәрсе,вещь,narsa,nesne,nemerse,chg,word,1,
Ch 12,151,خصوصاً,ḫuṣūsan,especially,әсіресе,особенно,xususan,hususan,ḫuṣūsan,chg,word,1,
Ch 12,152,سپاهی کرليک,sipāhgerlik,the military profession,сипайгерлік,военное дело,sipohgarlik,askerlik,sipāhgerlik,chg,word,1,
Ch 12,153,قانون,qānūn,law,заң,закон,qonun,kanun,qānūn,chg,word,1,
Ch 12,154,يسون,yosun,manner,жосын,манера,yo'sin,tarz,yosun,chg,word,1,
Ch 12,155,يسون,yosun,custom,салт,обычай,rasm-rusum,usul,yosun,chg,word,1,
Ch 12,156,نيچوک,neçük,how,қалай,как,nechuk,nasıl,neçük,chg,word,1,
Ch 12,157,نيچوک,neçük,why,неге,почему,nega,niçin,neçük,chg,word,1,
Ch 12,158,آتلان,atlan-,to ride on horseback,аттану,садиться на коня,otlanmoq,atlanmak,atlan-,chg,word,1,
Ch 12,159,يور,yür-,to walk,жүр-,ходить,yur-,yürü-,yür-,chg,word,1,
Ch 12,160,يورو,yürü-,to go about,жүру,расхаживать,yurmoq,yürümek,yürü-,chg,word,1,
Ch 12,161,ياوغە,yawǧa,hostile,жаулық,враждебный,yovga,düşmanca,yawǧa,chg,word,1,
Ch 12,162,ياوغە,yawǧa,ferocious,жауыз,свирепый,yovuz,yavuz,yawǧa,chg,word,1,
Ch 12,163,ياساو,yasaw,military order,жасақ,боевой порядок,yasov,düzen,yasaw,chg,word,1,
Ch 12,164,دشمن,düşman,enemy,дұшпан,враг,dushman,düşman,düşman,chg,word,1,
Ch 12,165,سوزلاش,sözleş-,to discuss,сөйлесу,обсуждать,so'zlashmoq,söyleşmek,sözleş-,chg,word,1,
Ch 12,166,مثنويات,mäs̱näwiyāt,mathnawis,маснавият,маснави,masnaviylar,mesneviyat,mäs̱näwiyāt,chg,word,1,
Ch 12,167,قصايد,qaṣāyıd,qasidas,қасидалар,касыды,qasidalar,kasideler,qaṣāyıd,chg,word,1,
Ch 12,168,غزليات,ǧazaliyāt,ghazals,ғазалдар,газели,g'azallar,gazeller,ǧazaliyāt,chg,word,1,
Ch 12,169,مقطعات,muqaṭṭaʿāt,short poems,үзінділер,мукатта,muqattaot,mukattaat,muqaṭṭaʿāt,chg,word,1,
Ch 12,170,رباعيات,rubāʿiyāt,quatrains,рубаят,рубаи,ruboiyot,rubaiyat,rubāʿiyāt,chg,word,1,
Ch 12,171,اشعار,aşʿār,poems,өлеңдер,стихи,ash'or,şiirler,aşʿār,chg,word,1,
Ch 12,172,فهم,fahm,understanding,пайым,понимание,fahm,fehim,fahm,chg,word,1,
Ch 12,173,لغت,luǧat,language,тіл,язык,lug'at,dil,luǧat,chg,word,1,
Ch 12,174,معني,maʿnā,meaning,мағына,смысл,ma'no,mana,maʿnā,chg,word,1,
Ch 12,175,دم,dam,moment,сәт,миг,dam,an,dam,chg,word,1,
Ch 12,176,دم,dam,breath,дем,дыхание,dam,nefes,dam,chg,word,1,
Ch 12,177,مغولستان,Moǧulistān,Moghulistan,Моғолстан,Могулистан,Mog'uliston,Moğolistan,Moǧulistān,chg,word,1,
Ch 12,178,مغولستان,Moǧulistān,land of the Mongols,Моңғол жері,земля моголов,Mo'g'ullar yurti,Moğol diyarı,Moǧulistān,chg,word,1,
Ch 12,179,عمر,ʿumr,life,өмір,жизнь,umr,ömür,ʿumr,chg,word,1,
Ch 12,180,سلطنت,salṭanat,kingship,патшалық,султанат,saltanat,saltanat,salṭanat,chg,word,1,
Ch 12,181,کم و زياد,käm wa ziyād,more or less,азды-көпті,более или менее,kam-ko'st,az çok,käm wa ziyād,chg,phrase,3,
Ch 12,182,کم و زياد,käm wa ziyād,approximation,шамамен,приблизительно,taqriban,takriben,käm wa ziyād,chg,phrase,3,
Ch 12,183,فهملا,fahmla-,to understand,пайымдау,понимать,fahmlamoq,fehmetmek,fahmla-,chg,word,1,
Ch 12,184,فهملا,fahmla-,to comprehend,түсіну,постигать,anglamoq,kavramak,fahmla-,chg,word,1,
Ch 12,185,شايد,şāyad,Perhaps,бәлкім,возможно,shoyad,şayet,şāyad,chg,word,1,
Ch 12,186,عراق,ʿIrāq,Iraq,Ирак,Ирак,Iroq,Irak,ʿIrāq,chg,word,1,
Ch 12,187,هندستان,Hindustān,India,Үндістан,Индостан,Hindiston,Hindistan,Hindustān,chg,word,1,
Ch 12,188,سپاهی,sipāhı̇̄,soldier,сарбаз,воин,sipoh,sipahi,sipāhı̇̄,chg,word,1,
Ch 12,189,چاق,çaq,time,шақ,время,choq,çağ,çaq,chg,word,1,
Ch 12,190,اشت,eşit-,to hear,есті-,слышать,eshit-,işit-,eşit-,chg,word,1,
Ch 12,191,يوز,yüz,face,жүз,лицо,yuz,yüz,yüz,chg,word,1,
Ch 12,192,يوز,yüz,surface,беті,поверхность,sirt,yüzey,yüz,chg,word,1,
Ch 12,193,کينک,kéñ,broad,кең,широкий,keng,geniş,kéñ,chg,word,1,
Ch 12,194,شجرە,şecere,tree,ағаш,дерево,shajara,ağaç,şecere,chg,word,1,
Ch 12,195,شجرە,şecere,pedigree,тегі,родословная,nasab,soy ağacı,şecere,chg,word,1,
Ch 12,196,شجرە,şecere,genealogy,шежіре,генеалогия,shajara,şecere,şecere,chg,word,1,
Ch 12,197,باب,bāb,chapter,тарау,глава,bob,bap,bāb,chg,word,1,
Ch 12,198,سوزلاش,sözleş-,to discuss,сөйлесу,обсуждать,so'zlashmoq,söyleşmek,sözleş-,chg,word,1,
Ch 12,199,ساليش,salış-,to hurl at each other,алысу,сражаться,solishmoq,vuruşmak,salış-,chg,word,1,
Ch 12,200,اوروش,uruş,to do battle,ұрысу,биться,urushmoq,savaşmak,uruş,chg,word,1,
Ch 12,201,کوروش,körüş,to meet,көрісу,видеться,ko'rishmoq,görüşmek,körüş,chg,word,1,
Ch 12,202,اى يارانلار فرزندديک سوزلامانکلار,Ay yārānlar ferzenddek sözlemeñler,Oh friends do not speak in the manner of children,"Ей, достар, бала сияқты сөйлемеңдер","О друзья, не говорите, как дети","Ey yoronlar, farzanddek so'zlamanglar","Ey dostlar, çocuk gibi konuşmayın",Ay yārānlar ferzenddek sözlemeñler,chg,phrase,4,
Ch 12,203,سيزديک بر دوست ايستاب تافالماسمن,Sizdek bir dost istep tafalmasmen,I will seek but can never find a friend like you,Сіздердей досты іздеп таба алмаспын,"Я буду искать, но не найду друга, подобного вам",Sizdek bir do'st izlab topolmasman,Sizin gibi bir dost arayıp da bulamam,Sizdek bir dost istep tafalmasmen,chg,sentence,5,
Ch 12,204,قياش ديک يوزلارى و نورديک ساچلاري نى کوردوک,Quyaşdék yüzleri wa nūrdék saçlarını kördük,We saw his sun-like face and his light-like hair,Күндей жүздерін және нұрдай шаштарын көрдік,"Мы видели его лицо, подобное солнцу, и волосы, подобные свету",Quyoshdek yuzlari va nurdek sochlarini ko'rdik,Güneş gibi yüzlerini ve nur gibi saçlarını gördük,Quyaşdék yüzleri wa nūrdék saçlarını kördük,chg,sentence,6,
Ch 12,205,فقيرداک کيشي شايد عراقدا و هندوستاندا بولسا بولغاى,Faqı̇̄rdek kişi šāyad ʿIrāqda wa Hindūstān’da bolsa bolġay,It seems like someone like me if he exists he ought to be in Iraq or Hindustan,Мен (пақыр) сияқты кісі бәлкім Иракта не Үндістанда болар,"Такой человек, как я, возможно, найдется в Ираке или Индостане",Faqirdek kishi shoyad Iroqda va Hindustonda bo'lsa bo'lg'ay,Fakir (benim) gibi bir kişi şayet Irak'ta ve Hindistan'da bulunabilir,Faqı̇̄rdek kişi šāyad ʿIrāqda wa Hindūstān’da bolsa bolġay,chg,sentence,8,
Ch 12,206,يوق تيسام يالغان بولغاى,Yoq désem yalǧan bolǧay,If I said they do not exist that would probably be a lie,"Жоқ десем, жалған болар","Если скажу, что нет, это будет ложью","Yo'q desam, yolg'on bo'lg'ay",Yok dersem yalan olur,Yoq désem yalǧan bolǧay,chg,phrase,4,
Ch 12,207,بسم الله الرحمن الرحيم,bismillāhiʾr-raḥmaniʾr-raḥı̇̄m,In the Name of God the Compassionate and the Merciful,Бисмиллаһир-Рахманир-Рахим,"Во имя Аллаха Милостивого, Милосердного",Bismillohir Rahmonir Rahim,Bismillâhirrahmânirrahîm,bismillāhiʾr-raḥmaniʾr-raḥı̇̄m,chg,word,1,
Ch 12,208,ابتداسيز و انتهاسيز و شريک سيز يتي قط آسمان و يتي قط یيرني و اون سکيز مينک عالمنى بول تيگاندە بولدورغان تنکرى نينک حمديدين سونك,Ibtidāsız wa intihāsız wa şerı̇̄ksiz yetti qaṭ āsmān wa yetti qaṭ yerni on sekkiz mıñ ʿālāmnı Bol tegende boldurǧan Täñriniñ ḥamdıdın soñ,After praising God who is without beginning without end without partner who brought the seven layers of heaven the seven layers of earth and the eighteen thousand worlds into being when he said Be,"Басы мен аяғы жоқ және серігі жоқ, жеті қат аспан мен жеті қат жерді және он сегіз мың ғаламды «Бол» дегенде болдырған Тәңірге мадақ айтқаннан соң","После хвалы Богу, не имеющему ни начала, ни конца, ни сотоварища, который словом «Будь» сотворил семь слоев неба, семь слоев земли и восемнадцать тысяч миров","Ibtidosiz va intihosiz va sheriksiz, yetti qavat osmon va yetti qavat yerni va o'n sakkiz ming olamni ""Bo'l"" deganda oldirgan Tangrining hamdidan so'ng","Başlangıcı ve sonu olmayan, ortağı bulunmayan, yedi kat göğü, yedi kat yeri ve on sekiz bin alemi ""Ol"" deyince olduran Tanrı'ya hamdettikten sonra",Ibtidāsız wa intihāsız wa şerı̇̄ksiz yetti qaṭ āsmān wa yetti qaṭ yerni on sekkiz mıñ ʿālāmnı Bol tegende boldurǧan Täñriniñ ḥamdıdın soñ,chg,sentence,22,
Ch 12,209,آنينک دوستي و بارچە آدم فرزندلاريکە و جنلارکا وجنلارکا يبارکان ايلچي سي اولو العزم و رسالت و نبوت و خاتمت بو تورت مرتبە نى عنايت قيليب برکان رسولي محمد مصطفي نينک درودديندين سونك,anıñ dostı wa barça ādam ferzendlerige wa cinlerge ibergen élçisi ulū‘l-ʿazm wa risālat wa nubūwwat wa ḫātimat bu tört märtebeni ʿināyat qılıp bergen rasūlı Muḥammad muṣṭafānıñ durūdındın soñ,after praising the messenger Muhammad the chosen one His friend and the emissary He sent unto all the children of Adam and to the djinn who held the four stations of the decision the bringing of the message the prophecy and the Seal,"Оның досы әрі барша адам баласы мен жындарға жіберген елшісі, ұлы мақсат, елшілік, пайғамбарлық және соңғылық атты төрт мәртебені сыйлап берген расулы Мұхаммед Мұстафаға салауаттан соң","После благословения Его посланника Мухаммада Мустафы, избранника, Его друга, отправленного ко всем сынам Адама и джиннам, которому дарованы четыре степени: решимость, посланничество, пророчество и печать пророков","Uning do'sti va barcha odam farzandlariga va jinlarga yuborgan elchisi, ulug' azm, risolat, nubuvvat va xotimat — bu to'rt martabani inoyat qilib bergan rasuli Muhammad Mustafoning durudidan so'ng","O'nun dostu, tüm Ademoğullarına ve cinlere göndérdiği elçisi; ulu'l-azm, risalet, nübüvvet ve hatemiyet olan bu dört mertebeyi ihsan edip vérdiği Resulü Muhammed Mustafa'ya salat ve selamdan sonra",anıñ dostı wa barça ādam ferzendlerige wa cinlerge ibergen élçisi ulū‘l-ʿazm wa risālat wa nubūwwat wa ḫātimat bu tört märtebeni ʿināyat qılıp bergen rasūlı Muḥammad muṣṭafānıñ durūdındın soñ,chg,sentence,28,
Ch 12,210,بو کتابنى آيتماق ليق نينک سببي,bu kitābnı aytmaqlıqnıñ sebebi,the reason for writing this book,Бұл кітапты жазудың себебі,Причина написания этой книги,Bu kitobni aytmoqlikning sababi,Bu kitabı yazmanın sebebi,bu kitābnı aytmaqlıqnıñ sebebi,chg,phrase,4,
Ch 12,211,عرب محمد خان اوغلي ابو الغازى بهادور خان چنکزى و خوارزمى آنداق آيتا تورغان,ʿArab Muḥammad Ḫan oǧlı Abūʾl-Ǧāzı̇̄ Bahadur Ḫan Çiñgiz wa Ḫᵛārazm andaq ayta turǧan,The son of Arab Muhammad Khan Abu l-Ghazi Bahadur Khan Chinggisid and Khwarezmian said,"Араб Мұхаммед хан ұлы Әбілғазы Баһадүр хан, шыңғыстық және хорезмдік, былай дейді","Сын Араб-Мухаммад-хана, Абу-л-Гази-бахадур-хан, чингизид и хорезмиец, говорит так","Arab Muhammadxon o'g'li Abulg'ozi Bahodirxon, chingiziy va xorazmiy, andoq ayta turgan","Arap Muhammed Han oğlu Ebu'l-Gazi Bahadır Han, Cengiz soyundan ve Harezmli, şöyle söyler",ʿArab Muḥammad Ḫan oǧlı Abūʾl-Ǧāzı̇̄ Bahadur Ḫan Çiñgiz wa Ḫᵛārazm andaq ayta turǧan,chg,sentence,13,
Ch 12,212,چنکز خان نينک ابا و اجدادلارينى و اولادلاري کيم هر ولايت لاردە پادشاەليق قيليب تورورلار مورخ لار ترکى و فارسي تيلي برلان آنلارنينک  و بارچەلارينينک توقغان و اولکان تاريخ لارينى يخشي و يمان قيلغان ايشلارينى بتيب تورورلار,Çiñgiz Ḫannıñ abā wa acdādlarını wa awlādları kim här wilāyatlarda pādişāhlıq qılıp tururlar muʾwarriḫlar Türk wa Fārs tili birlän anlarnıñ barçalarınıñ tuqǧan wa ölgen tārı̇̄ḫlerini yaḫşı wa yaman qılǧan işlerini bitip tururlar,historians used to record in Turki and in Persian all of the dates of birth and death and the deeds both good and ill of the ancestors and descendants of Chinggis Khan who ruled in every country,"Шыңғыс ханның ата-бабалары мен ұрпақтарының, әр уәлаятта патшалық құрғандардың туған және өлген тарихтарын, жақсы мен жаман істерін тарихшылар түрік және парсы тілдерінде жазып тұратын","Историки записывали на тюркском и персидском языках даты рождения и смерти, а также добрые и злые деяния предков и потомков Чингисхана, правивших в разных странах","Chingizxonning ota-bobolarini va avlodlari kim, har viloyatlarda podshohlik qilib tururlar, tarixchilar turkiy va forsiy tili bilan ularning barchalarining tug'ilgan va o'lgan tarixlarini, yaxshi va yomon qilgan ishlarini bitib tururlar","Tarihçiler, Cengiz Han'ın atalarının, ecdadının ve her memlekette padişahlık yapan evlatlarının doğduğu ve öldüğü tarihleri, yaptıkları iyi ve kötü işleri Türkçe ve Farsça dilleriyle yazıp dururlar",Çiñgiz Ḫannıñ abā wa acdādlarını wa awlādları kim här wilāyatlarda pādişāhlıq qılıp tururlar muʾwarriḫlar Türk wa Fārs tili birlän anlarnıñ barçalarınıñ tuqǧan wa ölgen tārı̇̄ḫlerini yaḫşı wa yaman qılǧan işlerini bitip tururlar,chg,sentence,32,
Ch 12,213,بر پادشاەنينک آتينە بر دانشمند کيشي بیر کتاب آيتيب تورور,Bir pādişāhnıñ atına bir dānışmand kişi bir kitāb aytıp turur,Some wise man would write a book in the name of some king,Бір патшаның атына бір данышпан кісі бір кітап жазып тұратын,Какой-нибудь мудрый человек писал книгу на имя определенного падишаха,Bir podshohning otiga bir donishmand kishi bir kitob aytib turur,Bir padişahın adına bir danışman kişi bir kitap yazar durur,Bir pādişāhnıñ atına bir dānışmand kişi bir kitāb aytıp turur,chg,sentence,10,
Ch 12,214,و ينە بر نچە يل لاردين سونك شول پادشاەنينک اولاديدين ينە بر پادشاە بولغاندە تقي بر دانشمند مورخ پيدا بولوب من اول بورونغي مورخ دين يخشي آيتورمن ديب بو پادشاە نينک آتينە تقي بر تاريخ آيتيب تورور,wa yänä bir neçe yıllardın soñ bu pādişāhnıñ äwlādıdın yänä bir pādişāh bolǧanda taqı bir dānışmand muwarriḫ paydā bolup Men ol burunǧı muwarriḫdın yaḫşı ayturmen dép bu pādişāhnıñ atına taqı bir tārı̇̄ḫ aytıp turur,and a few years later when one of that kings progeny would become king another wise historian would appear and say I will tell it better than that previous historian and so he would write another history in the name of that king,"Және бірнеше жылдан соң, сол патшаның ұрпағынан тағы бір патша болғанда, тағы бір данышпан тарихшы пайда болып: «Мен ол бұрынғы тарихшыдан жақсы айтамын», - деп, бұл патшаның атына тағы бір тарих айтып тұратын","И спустя несколько лет, когда из потомков того падишаха появлялся новый падишах, являлся еще один мудрый историк и, говоря: «Я расскажу лучше, чем тот прежний историк», слагал еще одну историю на имя этого падишаха","Va yana bir necha yillardan so'ng shul podshohning avlodidan yana bir podshoh bo'lganda, tag'i bir donishmand tarixchi paydo bo'lib: ""Men ul burungi tarixchidan yaxshi ayturman"", deb bu podshohning otiga tag'i bir tarix aytib turur","Ve yine birkaç yıl sonra o padişahın evladından yine bir padişah olduğunda, dahi bir danışman tarihçi peyda olup ""Ben o önceki tarihçiden daha iyi anlatırım"" deyip bu padişahın adına dahi bir tarih anlatıp durur",wa yänä bir neçe yıllardın soñ bu pādişāhnıñ äwlādıdın yänä bir pādişāh bolǧanda taqı bir dānışmand muwarriḫ paydā bolup Men ol burunǧı muwarriḫdın yaḫşı ayturmen dép bu pādişāhnıñ atına taqı bir tārı̇̄ḫ aytıp turur,chg,sentence,34,
Ch 12,215,شونداق قيلا قيلا چنکز خان اولاديدين هر يورتدا اوتکان پادشاەلارنينک آ تلاريغە بعضي لاريغە اون تاريخ و بعضي لاريغە يکرمي تاريخ و بعضي لاريغە اوتوز تاريخ آيتيب تورورلار,şondaq qıla qıla Çiñgis Ḫan äwlādıdın här yurtda ötken pādişāhlarnıñ atlarıǧa baʿżılarıǧa on tārı̇̄ḫ wa baʿżılarıǧa yigirmi tārı̇̄ḫ wa baʿżılarıǧa ottuz tārı̇̄ḫ aytıp tururlar,And so on and so forth until of the kings of each country who were descendants of Chinggis Khan some had ten histories in their names and some twenty and some thirty,"Осылай ете-ете, Шыңғыс хан ұрпағынан әр жұртта өткен патшалардың аттарына, кейбіріне он тарих, кейбіріне жиырма тарих, кейбіріне отыз тарих айтылыпты","Делая так раз за разом, о падишахах из потомков Чингисхана, правивших в каждом юрте, было сложено: о некоторых — десять историй, о некоторых — двадцать, а о некоторых — тридцать",Shundoq qila-qila Chingizxon avlodidan har yurtda o'tgan podshohlarning otlariga ba'zilariga o'n tarix va ba'zilariga yigirma tarix va ba'zilariga o'ttiz tarix aytib tururlar,"Böyle yapa yapa Cengiz Han evladından her yurtta geçmiş padişahların adlarına; bazılarına on tarih, bazılarına yirmi tarih ve bazılarına otuz tarih yazmışlardır",şondaq qıla qıla Çiñgis Ḫan äwlādıdın här yurtda ötken pādişāhlarnıñ atlarıǧa baʿżılarıǧa on tārı̇̄ḫ wa baʿżılarıǧa yigirmi tārı̇̄ḫ wa baʿżılarıǧa ottuz tārı̇̄ḫ aytıp tururlar,chg,sentence,24,
Ch 12,216,ايران برلان توراندە اوتکان چنکز خان اوغلان لاري نينک آتلارينە آيتيلغان تاريخ لاريدين اوشبو زمان فقيرنينک آلديندا اون سکيز مجلد حاضر تورور,İrān birlän Tūrānda ötken Çiñgiz Ḫan uǧlanlarınıñ atlarına aytılǧan tārı̇̄ḫlarıdın uşbu zamān faqı̇̄rniñ aldında on segiz mucallad ḥāżır turur,At this moment there are in front of me eighteen volumes of histories told about the sons of Chinggis Khan in Iran and Turan,Иран мен Тұранда өткен Шыңғыс хан ұлдарының аттарына айтылған тарихтардан қазір пақырдың алдында он сегіз том дайын тұр,"В настоящее время перед (мной), нищим, лежат восемнадцать томов историй, сложенных о сыновьях Чингисхана, живших в Иране и Туране",Eron bilan Turonda o'tgan Chingizxon o'g'lonlarining otlariga aytilgan tarixlaridan ushbu zamon faqirning oldida o'n sakkiz jild hozir turur,"İran ile Turan'da geçmiş Cengiz Han oğullarının adlarına yazılan tarihlerden, şu an bu fakirin önünde on sekiz cilt hazır durmaktadır",İrān birlän Tūrānda ötken Çiñgiz Ḫan uǧlanlarınıñ atlarına aytılǧan tārı̇̄ḫlarıdın uşbu zamān faqı̇̄rniñ aldında on segiz mucallad ḥāżır turur,chg,sentence,19,
Ch 12,217,اما بيزنينک اتا و اقالاري ميزبی پرواي ليغي و خوارزم خلقي نينک پوقوف ليقي بو ايکي سببدين بيزنينک جماعت ميزنى عبد الله خان نينک آتالاري برلان بيزلارنينک آتلارميزنينک آيرلغان يرندين تا بزکا کيلکونجە تاريخ لاري  بتماى ايرديلار,Amma bizniñ ata wa aqalarımıznıñ bı̇̄-parwālıqı wa Ḫᵛārazm ḫalqınıñ bı̇̄-wuqūflıqı bu éki sebebdin bizniñ camāʿatımıznı ʿAbdullah Ḫannıñ ataları birlän bizniñ atalarımıznıñ ayrılǧan yeridin tā bizge kelgünçe tārı̇̄ḫları bitmey érdiler,However on account of two reasons the inattentiveness of our fathers and elder brothers and the unawareness of the people of Khwarezm no histories were written from the time when the forefathers of Abdallah Khan were separated from our own up until our own time,"Бірақ біздің аталарымыз бен ағаларымыздың бейғамдығынан және Хорезм халқының хабарсыздығынан, бұл екі себепті біздің жамағатымызды Абдулла ханның аталарымен біздің аталарымыздың айырылған жерінен та бізге келгенге дейін тарихтары жазылмаған еді","Однако из-за беспечности наших отцов и старших братьев, а также из-за неосведомленности народа Хорезма — по этим двум причинам — история нашей общины с момента разделения предков Абдулла-хана и наших предков и вплоть до нас не была записана",Ammo bizning ota va akalarimizning beparvoligi va Xorazm xalqining bevuqufligi — bu ikki sababdan bizning jamoatimizni Abdullaxonning otalari bilan bizning otalarimizning ayrilgan yeridan to bizga kelguncha tarixlari bitilmay érdi,"Ama bizim ata ve ağabeylerimizin umursamazlığı ve Harezm halkının bilgisizliği yüzünden; bu iki sebepten dolayı, cemaatimizin, Abdullah Han'ın atalarıyla bizim atalarımızın ayrıldığı yerden bize gelinceye kadar tarihleri yazılmamıştı",Amma bizniñ ata wa aqalarımıznıñ bı̇̄-parwālıqı wa Ḫᵛārazm ḫalqınıñ bı̇̄-wuqūflıqı bu éki sebebdin bizniñ camāʿatımıznı ʿAbdullah Ḫannıñ ataları birlän bizniñ atalarımıznıñ ayrılǧan yeridin tā bizge kelgünçe tārı̇̄ḫları bitmey érdiler,chg,sentence,29,
Ch 12,218,بو تاريخ نى بر کيشي کا تکليف قيلالى تيب هر چند فکر قيلدوق هيچ مناسب کيشي تابمادوق,Bu tārı̇̄ḫni bir kişige täklı̇̄f qılalı dép här çend fikr qılduq hı̇̄ç münāsib kişi tapmaduq,I thought to myself I shall invite someone to write this history but every time I thought about it I could find no one appropriate,"Бұл тарихты бір кісіге тапсырайық деп қанша пікір қылсақ та, еш лайықты кісі таппадық","Сколько мы ни думали поручить эту историю кому-то, не нашли ни одного подходящего человека","Bu tarixni bir kishiga taklif qilaylik deb har chand fikr qildik, hech munosib kishi topmadik",Bu tarihi bir kişiye teklif edelim diye ne kadar düşündüysek de hiç uygun bir kişi bulamadık,Bu tārı̇̄ḫni bir kişige täklı̇̄f qılalı dép här çend fikr qılduq hı̇̄ç münāsib kişi tapmaduq,chg,sentence,15,
Ch 12,219,ضرور بولدى اول سببدين اوزيميز آيتدوق,Żarūr boldı Ol sebebdin özimiz aytduq,The matter became urgent This is why I wrote it myself,"Зәру болды, сол себептен өзіміз айттық (жаздық)","Стало необходимо, поэтому мы рассказали сами","Zarur bo'ldi, ul sababdan o'zimiz aytdik","Zaruri oldu, o sebepten kendimiz anlattık",Żarūr boldı Ol sebebdin özimiz aytduq,chg,sentence,6,
Ch 12,220,ترک نينک مثلي تورور اوکسوز اوز کنديکين کسار تيکان,Türkniñ mis̱li turur Öksüz öz kindikin keser tégen,It is like this proverb of the Turks The orphan cuts his own umbilical cord,Түріктің мысалы бар: «Өксіз өз кіндігін өзі кесер» деген,Есть тюркская пословица: «Сирота сам себе пуповину режет»,"Turkning misoli turur: ""O'ksiz o'z kindigini kesar"" degan","Türk'ün bir misali vardır: ""Öksüz kendi göbeğini (kendi) keser"" diyen",Türkniñ mis̱li turur Öksüz öz kindikin keser tégen,chg,sentence,8,
Ch 12,221,آدم زمانيدين تا بو دمکەچە اولچاقلي تاريخ لار ايت لغان تورور کيم حسابينى تنکرى بيلور,Ādam zamānıdın tā bu demgeçe olçaqlı tārı̇̄ḫlar aytılǧan turur kim ḥesābını Täñri bilür,From the time of Adam to now so many similar histories have been told only God knows how many,"Адам заманынан та осы демге дейін соншалықты тарихтар айтылған, есебін Тәңір біледі","Со времен Адама и до сего момента было рассказано столько подобных историй, что счет им знает только Бог","Odam zamonidan to bu damgacha olchoqli tarixlar aytilgan tururkim, hisobini Tangri bilur","Adem zamanından ta bu ana kadar o kadar çok tarih anlatılmıştır ki, hesabını Tanrı bilir",Ādam zamānıdın tā bu demgeçe olçaqlı tārı̇̄ḫlar aytılǧan turur kim ḥesābını Täñri bilür,chg,sentence,13,
Ch 12,222,هيچ پادشاە و مير و هيچ حکيم دانشمند اوز تاريخينى اوزي آيتغان ايرماس تورور,Hı̇̄ç pādişāh wa mı̇̄r wa hı̇̄ç ḥakı̇̄m-i dānışmand öz tārı̇̄ḫini özi aytǧan érmes turur,No king or commander no wise man has written his own history,"Ешбір патша, әмір және ешбір данышпан хакім өз тарихын өзі айтқан емес","Ни один падишах, ни эмир, ни один мудрый правитель не рассказывал свою историю сам",Hech podshoh va mir va hech hakimi donishmand o'z tarixini o'zi aytgan emas turur,Hiçbir padişah ve emir ve hiçbir bilge danışman kendi tarihini kendisi anlatmış değildir,Hı̇̄ç pādişāh wa mı̇̄r wa hı̇̄ç ḥakı̇̄m-i dānışmand öz tārı̇̄ḫini özi aytǧan érmes turur,chg,sentence,14,
Ch 12,223,بيزنينک يورتيميزنينک هواسندين و اهل خوارزم نينک بي بضاعت ليکيدين هيچ زماندا بولمغان ايش بولدى,Bizniñ yurtımıznıñ hawāsındın wa ahl-i Ḫᵛārazmnıñ bı̇̄-bażāʿatligidin hı̇̄ç zamānda bolmaǧan iş boldı,Because of the weather of our land and the worthlessness of the people of Khwarezm this has never happened,Біздің жұртымыздың ауа райынан және Хорезм елінің білімсіздігінен еш заманда болмаған іс болды,"Из-за климата нашей страны и скудоумия народа Хорезма случилось дело, какого не бывало ни в какие времена",Bizning yurtimizning havosidan va ahli Xorazmning bebizoatligidan hech zamonda bo'lmagan ish bo'ldi,"Bizim yurdumuzun havasından ve Harezm ehlinin yetersizliğinden, hiçbir zamanda olmamış bir iş oldu",Bizniñ yurtımıznıñ hawāsındın wa ahl-i Ḫᵛārazmnıñ bı̇̄-bażāʿatligidin hı̇̄ç zamānda bolmaǧan iş boldı,chg,sentence,12,
Ch 12,224,ايمدى کونکلينکيزکا کيلماسونکم فقير طرف توتوب يالغان آيتلغان بولغاى من و يا اوزومنى غلط تعريف ايتکان بولغاىمن,émdi köñliñizge kélmesün kim faqı̇̄r ṭaraf tutup yalǧan aytılǧan bolǧaymen wayā özümni ǧalaṭ taʿrı̇̄f étken bolǧaymen,Think not that your humble author has taken sides and tells lies nor that I am praising myself,"Енді көңілдеріңізге келмесін, пақыр жағын тартып жалған айтқан болармын немесе өзімді қате мақтаған болармын деп","Теперь пусть не придет вам на ум, что я, нищий, принял чью-то сторону и сказал ложь или же незаслуженно восхвалил себя","Endi ko'nglingizga kelmasinkim, faqir taraf tutib yolg'on aytilgan bo'lg'ayman va yo o'zimni g'alat ta'rif etgan bo'lg'ayman",Şimdi gönlünüze gelmesin ki; bu fakir taraf tutup yalan söylemiş olayım veya kendimi yanlış tarif etmiş olayım,émdi köñliñizge kélmesün kim faqı̇̄r ṭaraf tutup yalǧan aytılǧan bolǧaymen wayā özümni ǧalaṭ taʿrı̇̄f étken bolǧaymen,chg,sentence,16,
